pai_date,pai_datetime_beginning_utc,pai_datetime_beginning_ept,pai_datetime_ending_utc,pai_datetime_ending_ept,pai_area,final_bal_ratio
12/23/2022 12:00:00 AM,12/23/2022 10:30:00 PM,12/23/2022 5:30:00 PM,12/23/2022 10:35:00 PM,12/23/2022 5:35:00 PM,RTO,84.59
12/23/2022 12:00:00 AM,12/23/2022 10:35:00 PM,12/23/2022 5:35:00 PM,12/23/2022 10:40:00 PM,12/23/2022 5:40:00 PM,RTO,84.71
12/23/2022 12:00:00 AM,12/23/2022 10:40:00 PM,12/23/2022 5:40:00 PM,12/23/2022 10:45:00 PM,12/23/2022 5:45:00 PM,RTO,84.78
12/23/2022 12:00:00 AM,12/23/2022 10:45:00 PM,12/23/2022 5:45:00 PM,12/23/2022 10:50:00 PM,12/23/2022 5:50:00 PM,RTO,85.00
12/23/2022 12:00:00 AM,12/23/2022 10:50:00 PM,12/23/2022 5:50:00 PM,12/23/2022 10:55:00 PM,12/23/2022 5:55:00 PM,RTO,84.91
12/23/2022 12:00:00 AM,12/23/2022 10:55:00 PM,12/23/2022 5:55:00 PM,12/23/2022 11:00:00 PM,12/23/2022 6:00:00 PM,RTO,85.14
12/23/2022 12:00:00 AM,12/23/2022 11:00:00 PM,12/23/2022 6:00:00 PM,12/23/2022 11:05:00 PM,12/23/2022 6:05:00 PM,RTO,85.25
12/23/2022 12:00:00 AM,12/23/2022 11:05:00 PM,12/23/2022 6:05:00 PM,12/23/2022 11:10:00 PM,12/23/2022 6:10:00 PM,RTO,85.49
12/23/2022 12:00:00 AM,12/23/2022 11:10:00 PM,12/23/2022 6:10:00 PM,12/23/2022 11:15:00 PM,12/23/2022 6:15:00 PM,RTO,85.64
12/23/2022 12:00:00 AM,12/23/2022 11:15:00 PM,12/23/2022 6:15:00 PM,12/23/2022 11:20:00 PM,12/23/2022 6:20:00 PM,RTO,85.68
12/23/2022 12:00:00 AM,12/23/2022 11:20:00 PM,12/23/2022 6:20:00 PM,12/23/2022 11:25:00 PM,12/23/2022 6:25:00 PM,RTO,85.70
12/23/2022 12:00:00 AM,12/23/2022 11:25:00 PM,12/23/2022 6:25:00 PM,12/23/2022 11:30:00 PM,12/23/2022 6:30:00 PM,RTO,85.83
12/23/2022 12:00:00 AM,12/23/2022 11:30:00 PM,12/23/2022 6:30:00 PM,12/23/2022 11:35:00 PM,12/23/2022 6:35:00 PM,RTO,85.70
