datetime_beginning_utc,pnode_id,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
2021-04-01T00:00:00,48806,24.83,18.43,-6.23,-0.17
2021-04-01T00:00:00,49052,24.83,17.77,-6.64,-0.42
2021-04-01T00:00:00,49955,24.83,77.94,50.05,3.06
2021-04-01T00:00:00,50828,24.83,29.87,5.21,-0.17
2021-04-01T00:00:00,659723,24.83,17.97,-6.7,-0.16
2021-04-01T00:00:00,659724,24.83,17.95,-6.7,-0.18
2021-04-01T00:00:00,1048048,24.83,18.56,-5.47,-0.8
2021-04-01T00:00:00,1048076,24.83,31.03,5.4,0.8
2021-04-01T00:00:00,32411433,24.83,27.85,1.63,1.39
2021-04-01T00:00:00,32411997,24.83,26.07,1.3,-0.06
2021-04-01T00:00:00,32412355,24.83,18.32,-6.5,-0.01
2021-04-01T00:00:00,34886621,24.83,27.38,3.1,-0.55
2021-04-01T00:00:00,38367927,24.83,27.99,3.41,-0.25
2021-04-01T00:00:00,38367929,24.83,27.99,3.41,-0.25
2021-04-01T00:00:00,40243615,24.83,31.11,4.59,1.69
2021-04-01T00:00:00,57967471,24.83,17.76,-6.64,-0.43
2021-04-01T00:00:00,93353977,24.83,19.05,-5.77,-0.01
2021-04-01T00:00:00,98370003,24.83,28.73,3.17,0.73
2021-04-01T00:00:00,106856905,24.83,17.71,-6.72,-0.4
2021-04-01T00:00:00,1123180719,24.83,25.94,1.39,-0.28
2021-04-01T00:00:00,1305131573,24.83,28.16,2.67,0.66
2021-04-01T00:00:00,1338424127,24.83,26.36,1.17,0.36
2021-04-01T00:00:00,1356152712,24.83,17.53,-7.91,0.61
2021-04-01T00:00:00,1356155763,24.83,27.21,1.37,1.01
2021-04-01T00:00:00,1439644392,24.83,25.73,1.31,-0.41
2021-04-01T00:00:00,1666104437,24.83,14.76,-10.92,0.85
2021-04-01T00:00:00,1666104441,24.83,31.05,5.45,0.77
2021-04-01T00:00:00,2155501828,24.83,18.26,-5.48,-1.09
2021-04-01T00:00:00,2156108964,24.83,26.98,2.09,0.06
2021-04-01T00:00:00,2156109026,24.83,27.26,1.96,0.47
2021-04-01T00:00:00,2156109031,24.83,25.97,1.15,-0.01
2021-04-01T00:00:00,2156109888,24.83,18.1,-6.73,0.0
2021-04-01T01:00:00,48806,22.24,16.57,-5.18,-0.49
2021-04-01T01:00:00,49052,22.24,15.78,-5.75,-0.71
2021-04-01T01:00:00,49955,22.24,43.79,19.74,1.81
2021-04-01T01:00:00,50828,22.24,26.54,4.51,-0.21
2021-04-01T01:00:00,659723,22.24,15.86,-5.87,-0.51
2021-04-01T01:00:00,659724,22.24,15.85,-5.87,-0.52
2021-04-01T01:00:00,1048048,22.24,16.87,-4.36,-1.01
2021-04-01T01:00:00,1048076,22.24,21.91,-0.42,0.09
2021-04-01T01:00:00,32411433,22.24,25.0,1.39,1.37
2021-04-01T01:00:00,32411997,22.24,23.48,1.12,0.12
