datetime_beginning_utc,datetime_beginning_ept,locale,service,mcp,mcp_capped,reg_ccp,reg_pcp,as_req_mw,total_mw,as_mw,ss_mw,tier1_mw,ircmwt2,dsr_as_mw,nsr_mw,regd_mw
10/15/2021 4:00:00 AM,10/15/2021 12:00:00 AM,PJM_RTO,REG,29.68,29.68,25.59,4.09,525.00,512.00,512.00,272.70,0.00,0.00,7.70,,163.10
10/15/2021 5:00:00 AM,10/15/2021 1:00:00 AM,PJM_RTO,REG,20.07,20.07,18.37,1.70,525.00,523.10,523.10,269.40,0.00,0.00,7.50,,161.50
10/15/2021 6:00:00 AM,10/15/2021 2:00:00 AM,PJM_RTO,REG,25.25,25.25,21.54,3.71,525.00,526.10,526.10,269.50,0.00,0.00,7.00,,160.80
10/15/2021 7:00:00 AM,10/15/2021 3:00:00 AM,PJM_RTO,REG,11.94,11.94,10.86,1.08,525.00,525.00,525.00,269.50,0.00,0.00,6.90,,160.60
10/15/2021 8:00:00 AM,10/15/2021 4:00:00 AM,PJM_RTO,REG,27.19,27.19,23.10,4.09,525.00,525.00,525.00,269.40,0.00,0.00,7.10,,160.90
10/15/2021 9:00:00 AM,10/15/2021 5:00:00 AM,PJM_RTO,REG,54.57,54.57,51.43,3.14,800.00,800.00,800.00,313.10,0.00,0.00,11.00,,162.20
10/15/2021 10:00:00 AM,10/15/2021 6:00:00 AM,PJM_RTO,REG,33.41,33.41,31.72,1.69,800.00,800.00,800.00,313.00,0.00,0.00,16.50,,166.40
10/15/2021 11:00:00 AM,10/15/2021 7:00:00 AM,PJM_RTO,REG,59.57,59.57,56.81,2.76,800.00,800.00,800.00,339.30,0.00,0.00,17.40,,186.90
10/15/2021 12:00:00 PM,10/15/2021 8:00:00 AM,PJM_RTO,REG,29.41,29.41,25.28,4.13,525.00,531.60,531.60,317.60,0.00,0.00,12.90,,168.90
10/15/2021 1:00:00 PM,10/15/2021 9:00:00 AM,PJM_RTO,REG,22.99,22.99,20.13,2.86,525.00,524.80,524.80,330.40,0.00,0.00,10.20,,165.30
10/15/2021 2:00:00 PM,10/15/2021 10:00:00 AM,PJM_RTO,REG,28.20,28.20,27.21,0.99,525.00,524.10,524.10,329.90,0.00,0.00,10.20,,165.80
10/15/2021 3:00:00 PM,10/15/2021 11:00:00 AM,PJM_RTO,REG,101.63,101.63,100.29,1.34,525.00,524.80,524.80,330.00,0.00,0.00,10.10,,166.40
10/15/2021 4:00:00 PM,10/15/2021 12:00:00 PM,PJM_RTO,REG,25.03,25.03,21.82,3.21,525.00,530.60,530.60,259.90,0.00,0.00,9.90,,166.00
10/15/2021 5:00:00 PM,10/15/2021 1:00:00 PM,PJM_RTO,REG,96.90,96.90,95.56,1.34,525.00,525.00,525.00,261.00,0.00,0.00,4.50,,154.20
10/15/2021 6:00:00 PM,10/15/2021 2:00:00 PM,PJM_RTO,REG,38.14,38.14,34.71,3.43,525.00,525.00,525.00,261.90,0.00,0.00,4.50,,154.20
10/15/2021 7:00:00 PM,10/15/2021 3:00:00 PM,PJM_RTO,REG,24.78,24.78,21.07,3.71,525.00,529.20,529.20,261.90,0.00,0.00,4.50,,154.20
10/15/2021 8:00:00 PM,10/15/2021 4:00:00 PM,PJM_RTO,REG,31.33,31.33,31.33,0.00,525.00,536.30,536.30,262.30,0.00,0.00,4.70,,153.30
10/15/2021 9:00:00 PM,10/15/2021 5:00:00 PM,PJM_RTO,REG,147.46,147.46,144.48,2.98,800.00,781.50,781.50,307.60,0.00,0.00,18.90,,171.80
10/15/2021 10:00:00 PM,10/15/2021 6:00:00 PM,PJM_RTO,REG,60.42,60.42,59.32,1.10,800.00,798.30,798.30,309.10,0.00,0.00,22.40,,172.60
10/15/2021 11:00:00 PM,10/15/2021 7:00:00 PM,PJM_RTO,REG,53.29,53.29,52.16,1.13,800.00,813.10,813.10,302.50,0.00,0.00,21.60,,188.90
10/16/2021 12:00:00 AM,10/15/2021 8:00:00 PM,PJM_RTO,REG,49.71,49.71,47.74,1.97,800.00,799.00,799.00,298.90,0.00,0.00,22.00,,188.80
10/16/2021 1:00:00 AM,10/15/2021 9:00:00 PM,PJM_RTO,REG,37.99,37.99,37.33,0.66,800.00,797.60,797.60,341.30,0.00,0.00,18.60,,185.80
10/16/2021 2:00:00 AM,10/15/2021 10:00:00 PM,PJM_RTO,REG,40.36,40.36,37.94,2.42,800.00,799.80,799.80,300.70,0.00,0.00,18.40,,185.70
10/16/2021 3:00:00 AM,10/15/2021 11:00:00 PM,PJM_RTO,REG,45.73,45.73,43.94,1.79,800.00,792.10,792.10,378.40,0.00,0.00,15.30,,184.10
10/16/2021 4:00:00 AM,10/16/2021 12:00:00 AM,PJM_RTO,REG,70.88,70.88,67.48,3.40,525.00,520.70,520.70,300.90,0.00,0.00,7.00,,178.50
10/16/2021 5:00:00 AM,10/16/2021 1:00:00 AM,PJM_RTO,REG,34.10,34.10,32.70,1.40,525.00,525.00,525.00,300.90,0.00,0.00,7.00,,178.40
10/16/2021 6:00:00 AM,10/16/2021 2:00:00 AM,PJM_RTO,REG,55.98,55.98,52.01,3.97,525.00,525.00,525.00,286.40,0.00,0.00,6.80,,178.10
10/16/2021 7:00:00 AM,10/16/2021 3:00:00 AM,PJM_RTO,REG,30.03,30.03,26.79,3.24,525.00,525.00,525.00,286.50,0.00,0.00,6.60,,177.70
10/16/2021 8:00:00 AM,10/16/2021 4:00:00 AM,PJM_RTO,REG,36.95,36.95,35.46,1.49,525.00,525.00,525.00,286.40,0.00,0.00,6.90,,178.20
